TotalCharges,MonthlyCharges,SeniorCitizen,tenure,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
3015.75,74.55,0,40,1,1,1,1,2,0,0,0,2,0,2,2,0,1,2,0
535.35,20.25,0,28,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,0
61.05,19.4,0,2,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
54.65,54.65,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0
5639.05,103.95,0,54,0,0,0,1,2,1,2,0,2,0,2,2,1,1,0,1
1392.25,96.5,1,15,1,1,0,1,2,1,2,0,2,0,2,0,0,1,2,0
999.9,94.2,0,11,0,0,0,1,0,1,0,2,2,2,0,2,0,1,2,0
4107.25,85.3,0,47,0,1,1,1,2,0,2,2,0,2,2,2,2,1,1,0
102.5,25.2,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
6143.15,89.95,1,69,1,1,0,1,2,1,0,2,0,0,2,0,0,1,2,1
819.95,19.55,0,44,1,0,1,1,0,2,1,1,1,1,1,1,2,0,0,0
3432.9,108.15,0,32,1,0,0,1,2,1,2,2,0,2,2,2,0,1,1,1
3201.55,80.45,0,39,0,0,0,1,0,1,0,0,2,2,0,0,2,1,2,1
2168.9,44.95,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1242.2,87.75,0,15,1,0,0,1,2,1,2,0,0,0,2,0,0,1,0,0
206.6,50.4,0,4,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1
49.0,49.0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0
1772.25,78.85,1,24,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1
5553.25,81.5,0,69,1,0,0,1,2,0,2,2,2,2,0,2,2,1,1,0
8306.05,114.55,0,72,1,1,1,1,2,1,2,2,2,2,2,2,2,0,0,0
7251.9,106.4,0,69,0,1,0,1,0,1,2,2,0,2,2,2,1,1,1,0
2178.6,90.4,0,25,1,1,1,1,0,1,0,0,0,0,2,2,1,1,2,1
228.75,19.3,0,12,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,0
471.7,20.05,0,25,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,0
645.8,76.15,0,8,1,1,1,1,2,0,2,2,0,2,0,2,2,1,1,0
1033.95,78.3,0,13,1,0,1,1,0,1,0,0,0,0,2,0,0,1,1,0
6841.05,101.4,1,67,1,0,0,1,2,1,0,0,2,0,2,2,0,1,1,0
1423.65,20.05,0,72,0,1,0,1,0,2,1,1,1,1,1,1,2,0,0,0
905.55,20.4,0,44,1,0,0,1,0,2,1,1,1,1,1,1,2,0,1,0
5031.85,112.2,0,45,1,0,0,1,0,1,2,2,2,2,2,2,1,0,1,0
5826.65,105.85,0,54,1,0,1,1,0,1,2,2,0,2,2,2,1,1,2,0
970.55,40.65,0,25,1,0,1,0,1,0,2,0,0,0,2,0,1,1,1,0
3521.7,50.95,0,67,1,1,0,0,1,0,2,2,0,2,0,2,2,1,0,0
3563.8,60.3,0,58,1,1,0,1,0,0,2,2,2,0,0,0,1,0,1,1
302.75,80.85,0,4,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,1
879.8,20.0,0,41,1,1,1,1,0,2,1,1,1,1,1,1,2,1,3,0
3759.05,95.65,1,39,1,0,0,1,2,1,0,0,0,0,2,2,0,1,0,1
5060.9,94.1,0,54,0,0,0,1,0,1,0,0,2,0,2,2,1,1,1,0
446.8,55.75,0,8,0,1,1,1,2,0,0,2,0,0,0,0,0,0,2,0
5333.35,78.45,0,68,0,1,1,1,2,0,2,2,2,2,0,2,1,1,2,0
424.5,23.75,0,18,1,0,0,1,2,2,1,1,1,1,1,1,1,0,3,0
1972.35,74.4,0,27,0,1,1,1,0,1,2,0,0,0,0,0,0,0,3,0
3655.45,110.45,1,33,0,0,0,1,2,1,0,2,2,2,2,2,0,1,2,1
35.9,19.85,0,2,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,1
146.6,19.85,0,8,0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,0
3467.0,103.7,0,33,0,1,1,1,2,1,2,0,2,0,2,2,1,1,3,1
50.6,20.2,0,3,1,0,1,1,0,2,1,1,1,1,1,1,0,0,0,0
4421.95,85.5,0,51,0,1,1,1,0,0,2,2,2,2,2,2,2,0,1,0
713.1,80.8,0,9,1,0,0,1,0,1,0,0,0,0,0,2,0,1,2,1
168.9,19.7,0,8,1,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0
4134.7,59.1,0,69,0,1,1,1,0,0,0,2,2,2,0,0,1,0,0,0
679.3,80.1,0,8,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1
3686.05,69.7,0,53,1,1,1,1,2,0,2,2,0,0,0,2,2,0,0,0
31.2,19.65,0,2,1,0,0,1,0,2,1,1,1,1,1,1,0,1,2,0
275.4,20.3,0,13,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,0
4113.15,58.4,0,70,0,1,1,0,1,0,0,2,2,2,2,2,1,1,0,0
118.4,30.5,0,4,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
664.4,48.8,0,14,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
1287.85,84.45,0,15,0,0,0,1,0,0,2,2,2,2,2,2,0,0,3,0
