Actual,Predicted_Class,Predicted_Probability
1,1,0.9325788
1,1,0.24263757
0,0,0.09054255
0,0,0.5566825
0,0,0.0082314955
0,0,0.0044884356
0,1,0.48442256
0,0,0.002704778
0,0,0.071857184
0,0,0.0011596837
0,0,0.009034642
0,0,0.004973014
0,0,0.024349876
1,1,0.8918398
0,0,0.007519369
0,0,0.04319422
1,1,0.71129996
0,1,0.6301193
0,0,0.009181249
0,0,0.009753885
1,1,0.33548164
0,0,0.25453955
0,0,0.07264808
0,0,0.013507067
0,0,0.5041466
1,1,0.9879417
1,1,0.5323943
1,1,0.6554879
0,0,0.10225339
0,0,0.07941475
0,0,0.06306471
0,0,0.13006712
1,1,0.6803061
0,1,0.5104043
0,0,0.043397818
0,0,0.009484279
0,0,0.005954074
1,0,0.14651741
0,0,0.036746234
0,0,0.042456225
0,0,0.028439682
0,0,0.015452668
0,0,0.11566558
0,1,0.8346994
0,1,0.37108493
1,1,0.19907713
1,1,0.398529
1,1,0.43711695
0,0,0.003960716
0,0,0.08856263
0,0,0.061275743
0,1,0.46078998
0,0,0.0010060205
1,1,0.5221999
0,0,0.003958136
0,0,0.00367853
0,0,0.0053885425
1,1,0.8760235
0,0,0.015558782
0,1,0.86495537
1,1,0.8363907
0,0,0.765259
0,1,0.7797765
0,0,0.007248277
0,0,0.09175211
0,0,0.0013089984
0,0,0.026729044
0,0,0.007536901
0,0,0.3252059
0,0,0.026888743
0,0,0.019880258
0,0,0.008272271
0,0,0.004877139
0,0,0.01770387
1,1,0.45655534
1,1,0.6239243
0,0,0.8977451
0,0,0.1774712
0,0,0.0017193878
1,0,0.75138867
0,1,0.20426755
0,1,0.74639136
0,0,0.0007856536
0,0,0.002559524
0,0,0.44157517
0,0,0.024154425
1,1,0.8872682
0,0,0.012087425
1,1,0.96026546
1,1,0.59737587
0,0,0.00048840896
0,0,0.006465949
0,1,0.044907074
0,0,0.00014753317
0,0,6.262659e-05
1,1,0.33432278
0,0,0.14301479
0,0,0.0658541
0,1,0.67138135
0,0,0.013546013
0,1,0.3209231
0,0,0.0076212175
0,0,0.0068290113
0,0,0.053666707
0,0,0.009650609
0,0,0.0013821173
0,0,0.40440637
0,0,0.08536779
0,0,0.21298243
0,0,0.4251178
0,0,0.00066678366
0,0,0.093015596
1,0,0.2177714
0,1,0.41770768
1,1,0.3825493
1,1,0.19277638
1,1,0.5207734
1,1,0.8337778
0,0,0.06729527
0,0,0.19629346
0,0,0.0049888785
0,0,0.000714997
0,0,0.021834789
0,0,0.08658428
0,0,0.32448858
1,1,0.6304125
1,1,0.8990638
0,1,0.8172527
0,1,0.5894543
1,0,0.08582727
0,0,0.0576744
0,1,0.900853
0,1,0.92308724
0,0,0.019387929
0,0,0.076424345
0,0,0.057887714
0,0,0.011352414
1,1,0.9812056
0,0,0.0029795168
1,1,0.3646746
0,0,0.13869788
0,1,0.5815646
0,0,0.48141775
1,0,0.044784073
0,0,0.354126
1,1,0.8148528
1,1,0.92616194
0,0,0.0025771386
0,0,0.002824029
0,0,0.27252916
1,0,0.27156413
0,0,0.08966929
0,0,0.03953601
0,0,0.537559
0,0,0.002254996
1,1,0.7799711
0,0,0.37066746
1,1,0.9788578
0,0,0.0068232147
0,0,0.042700138
0,0,0.091776654
1,1,0.8925992
0,1,0.1612718
0,0,0.00023825304
1,0,0.045292437
0,0,0.0047435113
0,0,0.26596683
1,0,0.27178288
0,1,0.75818443
0,0,0.00078326114
1,0,0.18893418
1,1,0.77080107
0,0,0.007878413
0,0,0.0016703765
0,0,0.09208998
0,0,0.0018621199
1,1,0.93106323
0,0,0.00041390696
0,0,0.07101374
0,0,0.04113704
0,0,0.1427505
0,0,0.0049246973
0,0,0.0020520545
0,0,0.00081521954
0,0,0.00045209195
0,0,0.7516232
0,0,0.002087564
1,0,0.16063336
0,0,0.011901916
0,0,0.023052802
0,0,0.060363274
1,1,0.36747774
0,0,0.0064054383
0,1,0.5356522
0,0,0.00050701323
0,0,0.31942084
1,0,0.15258403
0,0,0.0064949216
0,1,0.7093691
0,1,0.6616924
0,0,0.4024371
0,0,0.44583023
0,0,0.0018439648
0,0,0.0048474637
0,0,0.12758067
0,1,0.32613504
0,1,0.8897153
0,1,0.5690469
0,0,0.39454338
1,0,0.47507685
0,1,0.5644303
0,0,0.001767989
1,1,0.89811224
0,0,0.011348578
0,1,0.5981689
1,1,0.92873245
0,0,0.0011451277
0,0,0.6124349
0,0,0.24362406
1,0,0.029843329
1,1,0.2635912
0,0,0.5566417
1,1,0.99260217
1,1,0.8523939
0,0,0.010641475
0,0,0.041434783
0,0,0.1858224
0,0,0.07351023
0,0,0.10859061
0,0,0.011682737
0,0,0.90805966
0,0,0.6470039
1,0,0.1982028
0,0,0.012282222
1,0,0.3494232
0,0,0.04427056
0,0,0.72297907
0,1,0.16252725
1,0,0.07022884
1,1,0.76498383
0,0,0.34601352
1,0,0.7271053
1,1,0.9407795
0,0,0.0021755728
0,0,0.00012218695
0,0,0.4322581
0,1,0.47132328
0,1,0.82706183
0,0,0.0041133054
1,1,0.86034507
0,0,0.05375
1,1,0.96998197
0,1,0.83012056
0,0,0.00018729993
0,0,0.009711792
1,1,0.98394877
0,0,0.2925644
1,1,0.73027354
1,1,0.8349638
0,0,0.0036907098
0,1,0.8290354
0,1,0.8119927
0,0,0.00063617696
0,0,0.06785666
1,1,0.8179494
0,0,0.0010654848
0,0,0.39479086
0,0,0.0017318033
0,0,0.011212304
1,1,0.8529841
0,1,0.37238273
0,1,0.3169248
1,1,0.9004719
1,1,0.88327205
1,1,0.9861509
1,1,0.3095775
0,0,0.092831574
0,0,0.011731746
0,0,0.024810813
0,0,0.018213995
0,0,0.006262251
1,1,0.84286594
1,1,0.56674576
0,0,0.022094041
1,1,0.9288905
0,0,0.016161423
0,0,0.120564505
0,0,0.0017925706
0,0,0.12927681
0,0,0.0014263103
0,0,0.010392055
0,1,0.71135473
0,1,0.7515902
0,0,0.16618343
0,0,0.00018308897
0,0,0.001306129
0,0,0.058393262
0,1,0.36657193
0,0,0.0029127751
0,0,0.0027188575
0,0,0.0017774894
0,0,0.2757567
1,1,0.22011146
0,0,0.0036557643
1,1,0.99163204
1,1,0.95280504
0,1,0.7428722
0,0,0.399584
0,0,0.011056018
1,0,0.18116534
0,0,0.001542269
0,0,0.095873386
0,0,0.0052454732
0,0,0.018572135
1,1,0.83960307
0,0,0.34211937
1,1,0.5908277
1,0,0.18498181
0,0,0.16073854
0,0,0.004359533
0,1,0.7634476
0,0,0.21240424
0,1,0.7507135
1,1,0.9430962
0,0,6.0992912e-05
0,1,0.42527246
1,0,0.1530936
1,1,0.8815391
1,1,0.8989385
0,0,0.04901078
0,0,0.004560984
0,0,0.0012404793
0,0,0.001839834
0,0,0.020262618
1,1,0.44862
0,0,0.017443351
0,0,0.034828257
0,1,0.46458104
0,1,0.63607925
0,0,0.62261844
